Rank,Country,GDP_Short,GDP_Full_USD,GDP_Growth_Percent,GDP_per_Capita_USD
167,Guam,6910000000.0,69100000005.0,5.1,41833.0
168,French Polynesia,6400000000.0,64022212223.0,2223.0,22774.0
169,Fiji,6350000000.0,63520000002.0,2.43,6802.0
170,South Sudan,6070000000.0,60690000004.0,4.14,488.0
171,Suriname,5910000000.0,59080000003.0,3.93,8856.0
172,Eswatini,5790000000.0,57920000004.0,4.04,4927.0
173,Liberia,5640000000.0,56420000005.0,5.11,964.0
174,Andorra,4880000000.0,48790000002.0,2.1,53475.0
175,Djibouti,4720000000.0,47250000006.0,6.0,4421.0
176,U.S. Virgin Islands,4670000000.0,4672000000.0,-1.31,44321.0
177,Aruba,4670000000.0,46710000002.0,2.25,42862.0
178,Faeroe Islands,3910000000.0,39073239612.0,9612.49,71774.0
179,Bhutan,3860000000.0,38560000007.0,7.48,4867.0
180,Central African Republic,3490000000.0,34920000002.0,2.61,613.0
181,Belize,3450000000.0,34500000002.0,2.19,8134.0
182,Cabo Verde,3450000000.0,34480000004.0,4.79,6670.0
183,Greenland,3330000000.0,33265441740.0,1740.87,58499.0
184,Curaçao,3280000000.0,32814193474.0,3474.2,21062.0
185,Guinea-Bissau,2980000000.0,29850000004.0,4.9,1449.0
186,Lesotho,2970000000.0,29720000001.0,1.11,1241.0
187,Gambia,2790000000.0,27920000005.0,5.11,953.0
188,Saint Lucia,2770000000.0,27650000001.0,1.96,15135.0
189,San Marino,2420000000.0,24170000001.0,1.3,70187.0
190,Antigua and Barbuda,2380000000.0,23850000002.0,2.59,22448.0
191,Eritrea,2280000000.0,22752902162.0,2162.8,656.0
192,Seychelles,2250000000.0,22510000001.0,1.52,17675.0
193,Timor-Leste,2170000000.0,21700000004.0,4.1,1520.0
194,Solomon Islands,1840000000.0,18360000002.0,2.79,2258.0
195,Comoros,1810000000.0,18140000004.0,4.08,1951.0
196,Turks and Caicos,1750000000.0,17453780005.0,5.64,37507.0
197,Sint Maarten,1740000000.0,17352102283.0,2283.5,40028.0
198,British Virgin Islands,1510000000.0,15058561072.0,1072.76,38627.0
199,Grenada,1480000000.0,14830000003.0,3.11,12689.0
200,Vanuatu,1400000000.0,13960000003.0,3.53,4082.0
201,Samoa,1380000000.0,13760000003.0,3.21,6455.0
202,St. Vincent & Grenadines,1240000000.0,12360000003.0,3.0,11098.0
203,Sao Tome & Principe,1160000000.0,11610000003.0,3.4,4739.0
204,Saint Kitts & Nevis,1140000000.0,11430000002.0,2.04,22146.0
205,Northern Mariana Islands,1100000000.0,109600000016.0,16.64,23786.0
206,American Samoa,871000000.0,8710000001.0,1.74,18017.0
207,Dominica,791000000.0,7910000003.0,3.14,10459.0
208,Tonga,716000000.0,7160000002.0,2.32,7238.0
209,Saint Martin,649210000.0,6492061564.0,1564.9,21668.0
210,Micronesia,521000000.0,5210000000.0,0.67,5514.0
211,Anguilla,415740000.0,4157352842.0,2842.47,28850.0
212,Kiribati,401000000.0,4010000003.0,3.1,3051.0
213,Palau,377000000.0,3770000003.0,3.3,21571.0
214,Cook Islands,366210000.0,36621154819.0,54819.07,25750.0
215,Marshall Islands,342000000.0,3420000003.0,3.67,9677.0
216,Nauru,196000000.0,1960000002.0,2.13,16053.0
217,Montserrat,80430000.0,804296307.0,6307.29,18197.0
218,Tuvalu,65000000.0,650000002.0,2.54,6581.0
